Experiment,PIN Length,Model,Shannon Entropy (bits),Min-Entropy (bits),Expected Guesses,Max Probability,Random - Top-1 Success Rate,Random - Top-3 Success Rate,Random - Top-5 Success Rate,Random - Top-10 Success Rate,Frequency-Ranked - Top-1 Success Rate,Frequency-Ranked - Top-3 Success Rate,Frequency-Ranked - Top-5 Success Rate,Frequency-Ranked - Top-10 Success Rate,Rule-Based - Top-1 Success Rate,Rule-Based - Top-3 Success Rate,Rule-Based - Top-5 Success Rate,Rule-Based - Top-10 Success Rate,Leakage-Assisted - Top-1 Success Rate,Leakage-Assisted - Top-3 Success Rate,Leakage-Assisted - Top-5 Success Rate,Leakage-Assisted - Top-10 Success Rate
6-digit uniform,6,uniform,16.51038736118322,14.609640474436812,45333.552260000004,4e-05,0.0,0.0,0.0,0.0,4e-05,0.0001,0.00016,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-digit biased,6,biased,7.560334604449437,4.252638382171828,2360.41346,0.05246,0.0,0.0,0.0,0.0,0.05246,0.15344,0.22873,0.39456,0.05088,0.11225,0.17205,0.36527,0.01997,0.06115,0.10157,0.20166
6-digit leakage,6,leakage,6.012731507698265,4.04859124773714,502.71258,0.06043,0.0,0.0,0.0,0.0,0.06043,0.18084,0.3007,0.59545,0.01233,0.03605,0.06084,0.12118,0.0592,0.17945,0.29810000000000003,0.59545
