Experiment,Model,Shannon Entropy (bits),Min-Entropy (bits),Expected Guesses,Random - Top-1,Random - Top-3,Random - Top-5,Random - Top-10,Frequency-Ranked - Top-1,Frequency-Ranked - Top-3,Frequency-Ranked - Top-5,Frequency-Ranked - Top-10,Rule-Based - Top-1,Rule-Based - Top-3,Rule-Based - Top-5,Rule-Based - Top-10,Leakage-Assisted - Top-1,Leakage-Assisted - Top-3,Leakage-Assisted - Top-5,Leakage-Assisted - Top-10
6-digit uniform,uniform,16.20834474767218,14.287712379549449,36978.615787500006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-digit biased,biased,11.488045799021137,5.215579775382215,6651.616887499999,0.0,0.0011,0.0011,0.0011,0.02745,0.082,0.1259,0.1987,0.02745,0.082,0.1259,0.1987,0.00065,0.00215,0.00215,0.12805
6-digit leakage,leakage,12.404272037990191,5.673002535434241,8140.677862500001,0.0,0.0,0.0,0.0001,0.0198,0.057300000000000004,0.08745,0.1389,0.0198,0.057300000000000004,0.08745,0.1389,0.0017,0.00325,0.0034999999999999996,0.09095
