model,defense,parameter,success_rate
uniform,attempt_limit,1,4e-05
uniform,attempt_limit,3,0.0001
uniform,attempt_limit,5,0.00016
uniform,attempt_limit,10,0.00031000000000000005
biased,attempt_limit,1,0.02712
biased,attempt_limit,3,0.08086
biased,attempt_limit,5,0.12319000000000001
biased,attempt_limit,10,0.19828
leakage,attempt_limit,1,0.03045
leakage,attempt_limit,3,0.09124
leakage,attempt_limit,5,0.15187
leakage,attempt_limit,10,0.30095000000000005
